Job Title,Department/Ministry,Qualification Required,Age Limit,Experience Required,Job Location,Salary Range,Application Deadline,Selection Process,Career Path
Railway Engineer,Ministry of Education,B.Sc,24-37,1 years,Jaipur,43157-64676 INR,29-10-2024,"Written Exam, Document Verification",Entry Level > Mid Level > Senior Level > Department Head
Public Prosecutor,Ministry of Home Affairs,PhD,23-35,3 years,Hyderabad,47319-64453 INR,16-10-2024,"Physical Test, Written Exam",Internship > Junior Position > Senior Position > Management
Medical Officer,Ministry of Education,PhD,26-35,3 years,Lucknow,47658-88540 INR,08-09-2024,"Written Exam, Interview",Trainee > Assistant Officer > Officer > Senior Officer
Gram Sevak,Ministry of Agriculture,MBBS,30-40,1 years,Ahmedabad,40958-71080 INR,10-09-2024,"Written Exam, Interview",Junior Engineer > Senior Engineer > Chief Engineer
Postman,Ministry of Rural Development,B.Sc,28-36,4 years,Pune,36046-63032 INR,15-09-2024,"Written Exam, Interview",Junior Engineer > Senior Engineer > Chief Engineer
Junior Engineer,Ministry of Rural Development,MBBS,29-38,1 years,Pune,48908-67490 INR,19-10-2024,"Physical Test, Medical Test",Trainee > Assistant Officer > Officer > Senior Officer
Data Entry Operator,Ministry of Home Affairs,B.Sc,22-35,3 years,Patna,33281-64031 INR,28-10-2024,"Written Exam, Document Verification",Junior Engineer > Senior Engineer > Chief Engineer
Police Sub Inspector,Ministry of Railways,PhD,30-37,4 years,Lucknow,44376-84408 INR,11-09-2024,"Written Exam, Interview",Entry Level > Mid Level > Senior Level > Department Head
Data Entry Operator,Ministry of Finance,MBBS,26-35,4 years,Jaipur,48554-78358 INR,10-09-2024,"Physical Test, Medical Test",Trainee > Assistant Officer > Officer > Senior Officer
Driver,Ministry of Defense,M.Tech,23-40,2 years,Mumbai,30576-82098 INR,11-09-2024,"Physical Test, Written Exam",Entry Level > Mid Level > Regional Head > Zonal Head
Defense Officer,Ministry of Education,Bachelor's Degree,29-38,4 years,Bangalore,30165-61994 INR,18-11-2024,"Physical Test, Written Exam",Entry Level > Mid Level > Senior Level > Department Head
UPSC NDA,Ministry of Home Affairs,PhD,21-40,0 years,Guwahati,42235-84559 INR,22-10-2024,"Preliminary Exam, Main Exam, Interview",Probation > Confirmation > Promotion > Senior Position
SSC CGL Officer,Ministry of Home Affairs,12th Pass,26-40,3 years,Bhopal,48835-72443 INR,17-10-2024,"Skill Test, Interview",Entry Level > Mid Level > Senior Level > Department Head
IAS Officer,Ministry of Rural Development,PhD,23-35,4 years,Jaipur,48187-84897 INR,15-09-2024,"Skill Test, Interview",Probation > Confirmation > Promotion > Senior Position
Audit Officer,Ministry of Environment,12th Pass,30-39,4 years,Pune,33440-85583 INR,19-11-2024,"Written Exam, Document Verification",Trainee > Assistant Officer > Officer > Senior Officer
IAS Officer,Ministry of Science and Technology,M.Sc,22-40,3 years,Chandigarh,33061-77770 INR,19-11-2024,"Written Exam, Document Verification",Entry Level > Mid Level > Regional Head > Zonal Head
Assistant Professor,Ministry of Railways,M.Tech,28-36,1 years,Bhopal,37045-82479 INR,17-09-2024,"Preliminary Exam, Main Exam, Interview",Entry Level > Team Lead > Deputy Director > Director
Electrician,Ministry of Health,B.Tech,25-37,5 years,Jaipur,38778-64037 INR,05-11-2024,"Preliminary Exam, Main Exam, Interview",Entry Level > Team Lead > Deputy Director > Director
Junior Translator,Ministry of Education,Diploma,23-37,3 years,Chandigarh,47775-72184 INR,14-11-2024,"Physical Test, Written Exam",Junior Engineer > Senior Engineer > Chief Engineer
UPSC NDA,Ministry of Rural Development,Master's Degree,22-39,2 years,Mumbai,33390-67489 INR,08-09-2024,"Physical Test, Medical Test",Entry Level > Mid Level > Senior Level > Department Head
Audit Officer,Ministry of Education,B.Sc,29-37,2 years,Ahmedabad,31911-64574 INR,22-10-2024,"Physical Test, Written Exam",Entry Level > Mid Level > Senior Level > Department Head
Assistant Engineer,Ministry of Education,B.Tech,28-37,4 years,Jaipur,48385-87430 INR,13-11-2024,"Physical Test, Medical Test",Internship > Junior Position > Senior Position > Management
Stenographer,Ministry of Agriculture,B.Com,22-39,5 years,Guwahati,30013-77519 INR,27-10-2024,"Preliminary Exam, Main Exam, Interview",Entry Level > Team Lead > Deputy Director > Director
Railway Engineer,Ministry of Environment,B.Sc,21-37,4 years,Bangalore,48342-64124 INR,03-11-2024,"Preliminary Exam, Main Exam, Interview",Trainee > Assistant Officer > Officer > Senior Officer
Agricultural Officer,Ministry of Finance,M.Tech,29-35,4 years,New Delhi,48915-75876 INR,16-09-2024,"Written Exam, Document Verification",Junior Engineer > Senior Engineer > Chief Engineer
Assistant Engineer,Ministry of Science and Technology,B.Sc,25-36,1 years,Bhopal,34931-66694 INR,25-11-2024,"Physical Test, Medical Test",Entry Level > Team Lead > Deputy Director > Director
Bank PO,Ministry of Health,B.Sc,30-35,5 years,Hyderabad,40670-89090 INR,29-10-2024,"Skill Test, Interview",Entry Level > Mid Level > Senior Level > Department Head
Fireman,Ministry of Defense,B.Com,22-40,4 years,Bhopal,39545-68387 INR,12-09-2024,"Physical Test, Medical Test",Entry Level > Team Lead > Deputy Director > Director
Agricultural Officer,Ministry of Agriculture,PhD,21-39,2 years,Kolkata,37968-69690 INR,25-11-2024,"Preliminary Exam, Main Exam, Interview",Trainee > Assistant Officer > Officer > Senior Officer
Veterinary Doctor,Ministry of Education,B.Tech,30-38,4 years,Ranchi,45975-76745 INR,26-11-2024,"Skill Test, Interview",Entry Level > Team Lead > Deputy Director > Director
Assistant Engineer,Ministry of Defense,B.Com,25-37,0 years,Chandigarh,38401-84875 INR,04-10-2024,"Physical Test, Medical Test",Assistant Professor > Associate Professor > Professor > Head of Department
Defense Officer,Ministry of Home Affairs,B.Tech,22-37,5 years,Jaipur,39661-68130 INR,14-09-2024,"Physical Test, Medical Test",Probation > Confirmation > Promotion > Senior Position
Clerk,Ministry of Agriculture,Bachelor's Degree,23-38,0 years,Mumbai,47103-67509 INR,09-10-2024,"Written Exam, Interview",Junior Engineer > Senior Engineer > Chief Engineer
Public Prosecutor,Ministry of Defense,B.Com,22-35,2 years,Pune,31359-76106 INR,19-10-2024,"Skill Test, Interview",Internship > Junior Position > Senior Position > Management
Junior Engineer,Ministry of Rural Development,M.Sc,26-38,3 years,Chandigarh,31066-68188 INR,16-09-2024,"Written Exam, Interview",Internship > Junior Position > Senior Position > Management
Junior Translator,Ministry of Defense,Master's Degree,24-40,5 years,Ahmedabad,46140-70053 INR,13-11-2024,"Physical Test, Medical Test",Assistant Professor > Associate Professor > Professor > Head of Department
Driver,Ministry of Health,M.Sc,25-40,4 years,Guwahati,36798-62542 INR,19-11-2024,"Skill Test, Interview",Assistant Professor > Associate Professor > Professor > Head of Department
Nurse,Ministry of Railways,Bachelor's Degree,23-39,2 years,Jaipur,34862-74084 INR,25-10-2024,"Written Exam, Document Verification",Assistant Professor > Associate Professor > Professor > Head of Department
Data Entry Operator,Ministry of Defense,Master's Degree,21-39,1 years,Kolkata,38053-75884 INR,15-10-2024,"Preliminary Exam, Main Exam, Interview",Internship > Junior Position > Senior Position > Management
SSC CGL Officer,Ministry of Home Affairs,10th Pass,29-35,5 years,Bangalore,30131-68904 INR,28-09-2024,"Physical Test, Medical Test",Assistant Professor > Associate Professor > Professor > Head of Department
SSC CGL Officer,Ministry of Environment,B.Sc,29-35,4 years,Hyderabad,35031-62413 INR,05-10-2024,"Written Exam, Document Verification",Entry Level > Team Lead > Deputy Director > Director
Bank PO,Ministry of Health,12th Pass,29-39,0 years,Ahmedabad,35826-84768 INR,20-11-2024,"Preliminary Exam, Main Exam, Interview",Entry Level > Mid Level > Senior Level > Department Head
Public Prosecutor,Ministry of Education,M.Tech,29-38,1 years,Ahmedabad,47479-80582 INR,10-11-2024,"Physical Test, Written Exam",Entry Level > Mid Level > Senior Level > Department Head
Gram Sevak,Ministry of Health,Master's Degree,29-35,5 years,Mumbai,46224-82085 INR,31-10-2024,"Written Exam, Document Verification",Internship > Junior Position > Senior Position > Management
Agricultural Officer,Ministry of Science and Technology,B.Com,29-40,5 years,Jaipur,46560-65050 INR,27-11-2024,"Skill Test, Interview",Internship > Junior Position > Senior Position > Management
IPS Officer,Ministry of Science and Technology,Master's Degree,24-37,0 years,Mumbai,37802-61671 INR,21-11-2024,"Physical Test, Medical Test",Entry Level > Mid Level > Regional Head > Zonal Head
Teacher,Ministry of Health,10th Pass,25-38,1 years,Mumbai,32219-79760 INR,10-11-2024,"Preliminary Exam, Main Exam, Interview",Probation > Confirmation > Promotion > Senior Position
Postman,Ministry of Finance,B.Tech,21-37,3 years,Ahmedabad,45431-67459 INR,30-10-2024,"Physical Test, Written Exam",Assistant Professor > Associate Professor > Professor > Head of Department
Bank PO,Ministry of Education,Bachelor's Degree,23-39,5 years,Bangalore,34959-63413 INR,13-10-2024,"Preliminary Exam, Main Exam, Interview",Assistant Professor > Associate Professor > Professor > Head of Department
Public Prosecutor,Ministry of Agriculture,B.Tech,23-39,1 years,Patna,47688-86904 INR,28-09-2024,"Written Exam, Document Verification",Internship > Junior Position > Senior Position > Management
Scientist B,Ministry of Home Affairs,10th Pass,25-38,1 years,Hyderabad,30191-86022 INR,15-09-2024,"Written Exam, Document Verification",Entry Level > Mid Level > Regional Head > Zonal Head
Scientist B,Ministry of Rural Development,10th Pass,25-37,2 years,Pune,44589-65484 INR,21-09-2024,"Written Exam, Interview",Entry Level > Mid Level > Senior Level > Department Head
Teacher,Ministry of Science and Technology,MBBS,26-37,4 years,Mumbai,41681-80554 INR,22-10-2024,"Skill Test, Interview",Entry Level > Mid Level > Senior Level > Department Head
IRS Officer,Ministry of Railways,M.Tech,24-36,1 years,Ranchi,32466-62844 INR,11-10-2024,"Skill Test, Interview",Entry Level > Mid Level > Regional Head > Zonal Head
Assistant Professor,Ministry of Education,B.Tech,29-38,3 years,Ahmedabad,40766-80949 INR,16-09-2024,"Physical Test, Written Exam",Junior Engineer > Senior Engineer > Chief Engineer
Scientist B,Ministry of Rural Development,12th Pass,27-39,2 years,Kolkata,33008-66081 INR,19-09-2024,"Skill Test, Interview",Junior Engineer > Senior Engineer > Chief Engineer
Clerk,Ministry of Environment,B.Sc,28-38,4 years,Chennai,45826-78118 INR,19-11-2024,"Physical Test, Written Exam",Junior Engineer > Senior Engineer > Chief Engineer
Audit Officer,Ministry of Agriculture,M.Sc,30-36,0 years,Chandigarh,45571-80109 INR,25-11-2024,"Preliminary Exam, Main Exam, Interview",Entry Level > Mid Level > Regional Head > Zonal Head
Assistant Commandant,Ministry of Finance,Bachelor's Degree,29-39,0 years,Patna,43748-60961 INR,09-09-2024,"Written Exam, Document Verification",Assistant Professor > Associate Professor > Professor > Head of Department
Mechanic,Ministry of Home Affairs,M.Tech,29-39,4 years,Patna,30336-64784 INR,20-10-2024,"Written Exam, Document Verification",Junior Engineer > Senior Engineer > Chief Engineer
Gram Sevak,Ministry of Health,B.Sc,28-36,1 years,Lucknow,33478-68044 INR,27-10-2024,"Written Exam, Interview",Entry Level > Team Lead > Deputy Director > Director
Data Entry Operator,Ministry of Finance,PhD,23-35,0 years,Bangalore,47756-74859 INR,05-11-2024,"Written Exam, Document Verification",Junior Engineer > Senior Engineer > Chief Engineer
Pharmacist,Ministry of Education,B.Sc,22-35,2 years,Bhopal,46009-60197 INR,05-10-2024,"Skill Test, Interview",Entry Level > Team Lead > Deputy Director > Director
Assistant Professor,Ministry of Science and Technology,MBBS,26-39,5 years,Bhopal,44701-88659 INR,22-10-2024,"Physical Test, Written Exam",Entry Level > Team Lead > Deputy Director > Director
Audit Officer,Ministry of Defense,M.Sc,27-35,5 years,Ahmedabad,47744-79360 INR,21-09-2024,"Skill Test, Interview",Junior Engineer > Senior Engineer > Chief Engineer
Forest Officer,Ministry of Finance,B.Tech,28-36,1 years,Bhopal,36320-86522 INR,31-10-2024,"Written Exam, Interview",Trainee > Assistant Officer > Officer > Senior Officer
Assistant Professor,Ministry of Finance,Master's Degree,30-38,0 years,Hyderabad,37113-84622 INR,15-10-2024,"Physical Test, Written Exam",Assistant Professor > Associate Professor > Professor > Head of Department
Assistant Engineer,Ministry of Science and Technology,Bachelor's Degree,24-36,3 years,Patna,39930-75907 INR,12-10-2024,"Preliminary Exam, Main Exam, Interview",Internship > Junior Position > Senior Position > Management
Assistant Commandant,Ministry of Agriculture,Bachelor's Degree,22-37,1 years,Mumbai,30562-75807 INR,23-10-2024,"Preliminary Exam, Main Exam, Interview",Entry Level > Mid Level > Senior Level > Department Head
Assistant Engineer,Ministry of Agriculture,Master's Degree,22-40,4 years,Lucknow,39973-61934 INR,03-11-2024,"Written Exam, Document Verification",Entry Level > Team Lead > Deputy Director > Director
IRS Officer,Ministry of Railways,10th Pass,23-36,2 years,New Delhi,34059-76861 INR,25-11-2024,"Physical Test, Written Exam",Entry Level > Mid Level > Regional Head > Zonal Head
Bank PO,Ministry of Science and Technology,Diploma,30-35,2 years,Mumbai,35029-87597 INR,18-09-2024,"Written Exam, Interview",Entry Level > Mid Level > Senior Level > Department Head
IPS Officer,Ministry of Finance,B.Sc,27-37,3 years,Patna,49525-79991 INR,28-09-2024,"Physical Test, Written Exam",Probation > Confirmation > Promotion > Senior Position
Accountant,Ministry of Agriculture,B.Com,29-37,3 years,Bhopal,35375-86452 INR,19-11-2024,"Physical Test, Medical Test",Entry Level > Mid Level > Regional Head > Zonal Head
Junior Assistant,Ministry of Finance,Bachelor's Degree,28-36,1 years,Chennai,48588-80762 INR,15-09-2024,"Physical Test, Medical Test",Assistant Professor > Associate Professor > Professor > Head of Department
Lecturer,Ministry of Rural Development,Diploma,21-36,3 years,Mumbai,38748-79285 INR,23-11-2024,"Preliminary Exam, Main Exam, Interview",Probation > Confirmation > Promotion > Senior Position
Junior Engineer,Ministry of Defense,B.Com,28-35,2 years,Jaipur,44684-80561 INR,30-09-2024,"Written Exam, Interview",Internship > Junior Position > Senior Position > Management
Junior Engineer,Ministry of Home Affairs,M.Tech,21-38,2 years,Ranchi,43556-74991 INR,07-10-2024,"Physical Test, Written Exam",Probation > Confirmation > Promotion > Senior Position
Gram Sevak,Ministry of Education,10th Pass,22-39,1 years,Ahmedabad,47883-75546 INR,21-09-2024,"Physical Test, Medical Test",Junior Engineer > Senior Engineer > Chief Engineer
Police Sub Inspector,Ministry of Railways,M.Tech,21-36,4 years,Lucknow,45201-63340 INR,22-09-2024,"Physical Test, Written Exam",Probation > Confirmation > Promotion > Senior Position
Lab Assistant,Ministry of Railways,M.Tech,27-35,5 years,Hyderabad,32850-74815 INR,26-10-2024,"Preliminary Exam, Main Exam, Interview",Trainee > Assistant Officer > Officer > Senior Officer
Veterinary Doctor,Ministry of Health,B.Tech,24-40,2 years,Chennai,30737-79270 INR,28-10-2024,"Written Exam, Document Verification",Probation > Confirmation > Promotion > Senior Position
Medical Officer,Ministry of Rural Development,MBBS,25-35,4 years,New Delhi,34781-66196 INR,17-10-2024,"Physical Test, Medical Test",Entry Level > Mid Level > Senior Level > Department Head
Railway Engineer,Ministry of Education,Diploma,29-39,1 years,Hyderabad,37303-85041 INR,11-10-2024,"Written Exam, Interview",Entry Level > Team Lead > Deputy Director > Director
IAS Officer,Ministry of Agriculture,B.Com,27-37,5 years,Jaipur,34829-72078 INR,12-09-2024,"Written Exam, Document Verification",Entry Level > Mid Level > Senior Level > Department Head
Gram Sevak,Ministry of Railways,Bachelor's Degree,25-37,1 years,Patna,47195-82002 INR,10-11-2024,"Physical Test, Written Exam",Probation > Confirmation > Promotion > Senior Position
Railway Engineer,Ministry of Education,PhD,25-36,2 years,Lucknow,49358-60368 INR,23-09-2024,"Physical Test, Written Exam",Assistant Professor > Associate Professor > Professor > Head of Department
